kohde;jasen;pvknro;sp;ASALUE;IKAL1;A1;A2;A3;A4;A5
50328;2;2;1;1.0;6;0;640;39;1.0;1.0
50332;1;1;2;1.0;7;0;560;40;2.0;2.0
50333;2;2;1;3.0;6;05:45;07:20;00:39;1.0;2.0
50339;1;2;2;1.0;7;290;470;26;2.0;2.0
50340;1;2;2;1.0;9;0;620;78;2.0;2.0
50353;1;1;1;1.0;6;09:20;07:50;01:00;1.0;1.0
50361;1;1;2;1.0;3;0;430;0;1.0;1.0
50363;1;2;1;1.0;4;00:00;11:00;00:00;1.0;1.0
50363;2;2;2;1.0;4;00:00;09:40;00:13;1.0;1.0
50371;1;1;2;1.0;6;400;470;30;1.0;2.0
50377;1;2;1;3.0;4;0;610;0;2.0;1.0
50377;2;2;2;3.0;4;0;430;0;2.0;1.0
50382;2;2;1;1.0;6;0;440;39;?;?
50385;1;2;1;3.0;8;0;610;13;2.0;2.0
50385;2;2;2;3.0;8;0;580;117;2.0;2.0
50389;1;2;1;1.0;3;00:00;12:00;00:00;1.0;1.0
50391;1;1;2;1.0;6;500;550;10;1.0;1.0
50391;2;1;1;1.0;6;0;520;0;2.0;1.0
50393;1;2;1;1.0;4;0;530;0;2.0;1.0
50393;2;2;2;1.0;5;0;640;390;2.0;1.0
50399;1;1;2;1.0;7;0;540;0;2.0;2.0
50399;2;1;1;1.0;7;0;590;0;1.0;2.0
50404;1;2;2;2.0;4;0;570;52;1.0;1.0
50407;1;1;1;1.0;4;600;600;0;1.0;1.0
50411;1;2;2;3.0;9;0;730;221;2.0;2.0
50411;2;2;1;3.0;9;0;760;182;2.0;2.0
50414;1;1;2;1.0;6;0;330;90;1.0;1.0
50422;1;1;1;1.0;6;460;380;0;1.0;1.0
50428;1;2;2;3.0;8;0;690;78;2.0;2.0
50428;2;2;1;3.0;5;180;520;104;2.0;2.0
50429;1;1;1;3.0;5;07:20;08:50;00:00;1.0;2.0
50429;2;1;2;3.0;5;00:00;07:50;00:00;1.0;1.0
50430;1;2;1;2.0;7;0;520;65;2.0;2.0
50430;2;2;2;2.0;8;0;510;26;1.0;1.0
50435;1;1;1;1.0;7;0;500;220;2.0;1.0
50436;1;1;2;1.0;5;0;450;90;2.0;1.0
50436;2;1;1;1.0;5;0;500;60;1.0;1.0
50438;1;1;2;1.0;5;0;700;190;1.0;1.0
50443;1;1;2;2.0;7;0;530;170;2.0;2.0
50443;2;1;1;2.0;7;40;610;140;1.0;1.0
50445;1;1;1;1.0;7;110;600;0;2.0;1.0
50447;1;1;2;3.0;4;00:00;11:20;02:20;2.0;1.0
50447;2;1;1;3.0;5;00:00;10:40;00:50;?;?
50452;1;2;2;1.0;8;0;560;117;2.0;1.0
50456;1;2;2;1.0;6;0;640;39;2.0;1.0
50456;2;2;1;1.0;7;35;480;104;?;?
50459;1;2;2;1.0;5;220;560;0;1.0;2.0
50459;2;2;1;1.0;5;180;340;13;1.0;1.0
50461;1;1;2;1.0;6;08:50;04:20;00:40;1.0;1.0
50464;1;1;2;1.0;6;00:00;09:10;00:00;1.0;1.0
50472;1;1;1;3.0;8;00:00;10:50;00:30;2.0;2.0
50472;2;1;2;3.0;7;00:00;09:40;01:40;1.0;2.0
50474;1;2;1;1.0;8;0;440;182;2.0;1.0
50474;2;2;2;1.0;8;0;390;195;2.0;1.0
50478;1;1;1;1.0;6;0;570;60;2.0;2.0
50478;2;1;2;1.0;6;420;570;10;?;1.0
50479;1;2;2;2.0;7;0;570;65;2.0;1.0
50483;1;2;1;2.0;4;285;510;0;1.0;1.0
50483;2;2;2;2.0;3;0;720;117;1.0;1.0
50485;1;1;2;1.0;3;390;430;0;1.0;2.0
50486;1;1;1;1.0;6;0;720;80;2.0;2.0
50488;1;1;1;1.0;6;520;400;0;1.0;1.0
50495;1;2;1;1.0;4;0;430;26;2.0;1.0
50504;1;2;1;1.0;6;0;500;78;1.0;1.0
50504;2;2;2;1.0;6;0;510;130;1.0;1.0
50505;1;1;1;1.0;4;650;250;20;120.0;0.0
50505;2;1;2;1.0;4;0;520;0;0.0;0.0
50506;1;1;2;3.0;8;0;620;20;2.0;1.0
50510;1;1;1;1.0;4;650;570;40;?;?
50510;2;1;2;1.0;5;0;490;0;2.0;1.0
50517;1;2;1;2.0;3;0;560;0;2.0;2.0
50523;1;1;1;3.0;8;0;640;0;2.0;2.0
50523;2;1;2;3.0;8;0;600;0;2.0;2.0
50526;1;2;1;1.0;7;0;510;78;2.0;2.0
50526;2;2;2;1.0;8;0;480;91;2.0;2.0
50529;1;2;2;1.0;7;0;570;273;1.0;1.0
50529;2;2;1;1.0;7;0;560;572;1.0;1.0
50531;1;2;2;1.0;7;0;690;130;2.0;1.0
50536;1;2;1;3.0;4;0;630;0;1.0;2.0
50536;2;2;2;3.0;4;0;500;0;1.0;1.0
50541;1;1;1;3.0;7;0;590;10;2.0;2.0
50541;2;1;2;3.0;7;0;540;0;2.0;2.0
50542;1;2;1;2.0;8;0;540;65;2.0;2.0
50542;2;2;2;2.0;9;0;480;91;2.0;2.0
50543;1;2;2;3.0;5;0;550;0;1.0;1.0
50543;2;2;1;3.0;5;0;510;117;1.0;1.0
50544;1;1;1;1.0;5;0;560;180;1.0;1.0
50547;1;2;1;3.0;6;235;580;0;2.0;2.0
50547;2;2;2;3.0;6;270;490;39;2.0;2.0
50560;1;1;2;3.0;3;60;460;0;1.0;1.0
50568;1;1;2;1.0;6;150;640;50;2.0;1.0
50568;2;1;1;1.0;6;170;690;90;2.0;1.0
50569;1;2;1;1.0;7;0;620;195;1.0;1.0
50569;2;2;2;1.0;7;0;500;26;1.0;1.0
50572;1;2;2;1.0;4;0;540;26;1.0;1.0
50572;2;2;1;1.0;3;0;950;130;1.0;1.0
50581;1;2;2;1.0;7;0;600;104;2.0;1.0
50581;2;2;1;1.0;6;0;600;26;2.0;2.0
50587;1;2;2;2.0;8;0;520;78;2.0;2.0
50588;1;1;1;1.0;7;0;530;0;1.0;2.0
50588;2;1;2;1.0;7;0;510;10;1.0;1.0
50591;1;1;2;1.0;6;830;350;10;1.0;1.0
50591;2;1;1;1.0;6;760;410;30;2.0;1.0
50592;1;1;1;1.0;5;0;500;0;2.0;1.0
50592;2;1;2;1.0;5;0;520;0;1.0;1.0
50599;2;2;1;1.0;6;240;450;39;1.0;2.0
50601;1;1;1;1.0;4;0;670;0;1.0;1.0
50605;1;2;2;1.0;3;0;450;0;1.0;1.0
50605;2;2;1;1.0;4;0;510;0;1.0;1.0
50611;1;1;2;1.0;7;0;650;0;2.0;1.0
50615;1;1;2;1.0;7;0;620;0;1.0;1.0
50616;1;2;1;2.0;7;0;480;0;2.0;1.0
50616;2;2;2;2.0;7;0;540;91;2.0;1.0
50622;1;2;1;2.0;9;0;470;78;2.0;2.0
50624;1;1;2;1.0;7;0;490;230;1.0;1.0
50624;2;1;1;1.0;7;470;500;10;?;?
50625;1;2;1;2.0;5;0;450;52;1.0;1.0
50625;2;2;2;2.0;5;0;530;247;1.0;1.0
50626;1;2;2;3.0;4;0;580;0;1.0;1.0
50626;2;2;1;3.0;4;0;660;0;?;?
50629;1;1;2;3.0;4;0;590;0;1.0;1.0
50629;2;1;1;3.0;4;0;690;0;1.0;1.0
50631;1;1;1;3.0;8;00:00;08:00;02:10;2.0;2.0
50631;2;1;2;3.0;8;00:00;08:10;00:20;2.0;2.0
50633;1;2;1;1.0;7;0;430;78;2.0;1.0
50635;1;1;1;1.0;7;440;530;0;2.0;1.0
50637;1;2;2;2.0;9;0;690;13;2.0;2.0
50639;2;1;1;1.0;6;0;480;0;1.0;1.0
50647;2;1;1;3.0;6;0;630;0;1.0;1.0
50653;1;1;2;1.0;7;0;540;60;2.0;1.0
50655;1;2;2;3.0;7;0;330;52;2.0;1.0
50655;2;2;1;3.0;7;0;450;65;2.0;1.0
50657;1;2;2;1.0;5;0;730;0;2.0;2.0
50657;2;2;1;1.0;7;0;540;26;2.0;2.0
50662;1;2;2;1.0;6;0;600;26;1.0;2.0
50664;1;2;1;1.0;6;0;670;0;2.0;2.0
50665;1;2;1;3.0;8;0;500;117;2.0;1.0
50665;2;2;2;3.0;8;0;530;13;2.0;1.0
50666;1;2;2;1.0;9;0;650;65;0.0;0.0
50666;2;2;1;1.0;9;0;620;156;240.0;0.0
50673;1;1;1;1.0;7;630;450;60;2.0;2.0
50673;2;1;2;1.0;7;510;380;80;2.0;1.0
50680;1;2;1;2.0;7;0;720;65;2.0;2.0
50680;2;2;2;2.0;7;0;520;52;2.0;1.0
50682;1;1;1;1.0;9;0;540;0;2.0;2.0
50682;2;1;2;1.0;9;0;420;60;1.0;2.0
50685;1;1;1;1.0;6;0;570;0;2.0;1.0
50685;2;1;2;1.0;6;0;630;70;2.0;1.0
50689;2;1;1;2.0;6;0;840;120;2.0;2.0
50690;1;2;2;1.0;9;0;680;13;2.0;2.0
50691;1;2;1;2.0;4;0;630;0;1.0;1.0
50691;2;2;2;2.0;3;230;630;52;1.0;1.0
50696;1;1;1;2.0;4;?;520;10;2.0;2.0
50696;2;1;2;2.0;4;0;500;20;2.0;1.0
50704;1;2;2;1.0;8;0;620;0;2.0;2.0
50709;1;2;2;1.0;5;00:00;09:10;00:00;1.0;1.0
50709;2;2;1;1.0;5;00:00;10:00;00:39;1.0;1.0
50713;1;1;1;1.0;5;380;470;70;1.0;1.0
50713;2;1;2;1.0;4;460;440;0;1.0;2.0
50714;1;2;2;2.0;4;0;640;0;1.0;1.0
50715;1;1;2;1.0;6;490;530;60;1.0;1.0
50721;2;1;2;1.0;6;290;400;10;1.0;1.0
50729;1;2;2;2.0;7;0;550;65;2.0;2.0
50729;2;2;1;2.0;7;0;560;91;1.0;2.0
50732;1;2;1;1.0;4;245;460;26;1.0;1.0
50732;2;2;1;1.0;4;0;550;143;1.0;1.0
50734;1;2;1;1.0;8;0;420;130;1.0;2.0
50734;2;2;2;1.0;7;0;460;221;1.0;2.0
50750;1;2;1;1.0;8;0;500;143;2.0;2.0
50750;2;2;2;1.0;7;0;530;156;2.0;2.0
50753;1;1;2;1.0;9;0;490;160;1.0;?
50753;2;1;1;1.0;8;0;450;130;2.0;1.0
50755;1;2;1;2.0;4;0;480;0;1.0;?
50755;2;2;2;2.0;4;0;490;130;1.0;1.0
50759;1;1;2;3.0;6;370;560;60;1.0;1.0
50759;2;1;1;3.0;5;440;510;0;1.0;1.0
50762;1;1;1;3.0;9;00:00;09:00;00:40;2.0;1.0
50764;1;2;2;1.0;4;0;420;143;1.0;1.0
50764;2;2;1;1.0;4;0;490;0;1.0;1.0
50766;1;1;1;1.0;9;0;540;20;240.0;120.0
50766;2;1;2;1.0;9;0;500;0;180.0;0.0
50769;1;1;1;2.0;4;0;590;10;2.0;1.0
50769;2;1;2;2.0;4;0;520;40;2.0;2.0
50770;1;1;2;1.0;6;220;490;40;1.0;1.0
50780;1;1;1;2.0;6;0;590;20;2.0;2.0
50780;2;1;2;2.0;6;0;660;20;2.0;1.0
50782;1;1;2;1.0;6;0;560;120;1.0;1.0
50782;2;1;1;1.0;7;0;600;0;1.0;1.0
50790;1;2;2;1.0;4;170;500;0;1.0;1.0
50790;2;2;1;1.0;5;130;430;26;1.0;1.0
50794;1;1;1;3.0;7;0;540;40;2.0;2.0
50794;2;1;2;3.0;8;0;540;40;2.0;1.0
50795;1;1;1;1.0;4;500;410;0;1.0;1.0
50795;2;1;2;1.0;4;300;510;0;1.0;2.0
50803;1;2;1;1.0;7;?;590;182;2.0;1.0
50809;1;2;1;1.0;7;250;350;39;1.0;2.0
50809;2;2;2;1.0;6;145;430;130;1.0;1.0
50813;1;1;1;1.0;8;0;600;0;2.0;1.0
50813;2;1;2;1.0;7;0;660;60;2.0;2.0
50814;1;2;2;1.0;8;0;430;117;1.0;1.0
50818;1;1;2;1.0;8;0;560;170;2.0;1.0
50819;1;2;1;1.0;7;0;600;130;2.0;1.0
50843;1;2;1;1.0;9;0;480;221;1.0;1.0
50843;2;2;2;1.0;9;0;520;78;1.0;1.0
50849;2;2;1;2.0;5;235;420;0;2.0;1.0
50856;2;2;2;1.0;7;230;540;0;2.0;2.0
50860;1;2;1;1.0;7;0;530;65;1.0;1.0
50860;2;2;2;1.0;6;0;520;?;?;1.0
50872;1;1;2;1.0;7;0;480;0;2.0;1.0
50877;1;1;1;3.0;4;00:00;08:40;00:50;2.0;1.0
50877;2;1;2;3.0;4;10:10;09:00;00:10;1.0;1.0
50881;1;2;2;1.0;6;0;490;117;2.0;2.0
50883;1;1;2;1.0;9;0;640;10;2.0;1.0
50886;1;2;1;1.0;8;00:00;07:20;01:44;2.0;1.0
50887;1;1;1;1.0;4;0;640;0;2.0;1.0
50887;2;1;2;1.0;4;0;550;0;2.0;1.0
50888;1;2;2;2.0;8;00:00;09:30;00:52;1.0;1.0
50895;1;1;1;1.0;6;0;550;0;2.0;1.0
50897;1;2;1;1.0;6;00:00;06:00;00:00;?;?
50897;2;2;2;1.0;5;00:00;08:30;00:00;1.0;1.0
50901;1;1;1;1.0;8;0;640;130;2.0;2.0
50901;2;1;2;1.0;8;0;620;90;2.0;2.0
50914;1;1;2;1.0;5;0;520;20;1.0;1.0
50914;2;1;1;1.0;6;0;630;40;1.0;2.0
50918;1;1;1;3.0;9;0;750;70;2.0;2.0
50918;2;1;2;3.0;8;0;690;150;2.0;2.0
50922;1;1;1;1.0;5;170;490;110;1.0;1.0
50922;2;1;2;1.0;5;0;470;60;1.0;1.0
50923;1;1;2;2.0;7;0;570;110;2.0;1.0
50923;2;1;1;2.0;8;0;540;10;2.0;1.0
50944;1;2;1;1.0;4;0;760;26;1.0;1.0
50955;2;1;1;3.0;5;00:00;08:00;00:30;?;?
50958;1;2;1;1.0;8;0;570;0;2.0;2.0
50958;2;2;2;1.0;8;0;580;52;2.0;1.0
50959;1;1;2;1.0;7;0;660;80;1.0;2.0
50959;2;1;1;1.0;7;?;650;80;1.0;2.0
50986;1;1;1;2.0;7;0;?;70;1.0;1.0
50989;1;1;2;2.0;5;130;600;0;1.0;1.0
50989;2;1;1;2.0;6;130;610;40;2.0;1.0
50992;1;1;1;3.0;9;00:00;08:50;00:00;2.0;1.0
50997;1;1;1;1.0;6;?;770;60;2.0;1.0
50997;2;1;2;1.0;6;0;630;40;1.0;1.0
50998;2;1;2;1.0;6;360;450;50;1.0;1.0
50999;1;2;2;3.0;8;0;590;130;2.0;2.0
50999;2;2;1;3.0;8;0;600;208;2.0;2.0
51002;1;2;1;1.0;8;00:00;07:10;01:31;2.0;2.0
51009;1;1;1;1.0;6;100;640;0;2.0;2.0
51009;2;1;2;1.0;6;0;560;?;2.0;2.0
51014;1;2;2;1.0;7;0;510;390;1.0;1.0
51014;2;2;1;1.0;7;0;550;299;1.0;1.0
51018;1;2;2;1.0;4;150;200;0;1.0;1.0
51018;2;2;1;1.0;4;0;470;0;1.0;1.0
51021;1;1;2;1.0;6;0;480;10;1.0;1.0
51021;2;1;1;1.0;3;0;520;0;1.0;1.0
51026;1;2;2;1.0;5;0;490;52;1.0;2.0
51026;2;2;1;1.0;5;0;370;26;1.0;1.0
51038;1;2;2;1.0;5;35;520;403;1.0;1.0
51043;1;2;1;2.0;7;0;540;0;1.0;1.0
51043;2;2;2;2.0;7;0;530;52;1.0;1.0
51047;1;1;2;1.0;6;0;540;0;2.0;1.0
51048;1;1;2;2.0;6;0;490;30;1.0;1.0
51048;2;1;2;2.0;3;0;580;10;1.0;1.0
51049;1;1;1;1.0;8;00:00;10:00;00:30;1.0;1.0
51049;2;1;2;1.0;8;00:00;06:30;01:40;1.0;2.0
51054;1;1;1;2.0;8;0;370;0;2.0;1.0
51056;1;2;1;2.0;4;0;?;26;1.0;1.0
51056;2;2;2;2.0;5;0;590;78;1.0;1.0
51057;2;2;1;1.0;7;0;460;0;2.0;2.0
51065;1;1;2;1.0;7;0;540;50;2.0;1.0
51065;2;1;1;1.0;8;0;570;0;?;?
51072;1;1;1;1.0;7;0;600;0;1.0;1.0
51072;2;1;2;1.0;7;0;600;0;1.0;1.0
51073;1;1;2;1.0;7;510;450;0;2.0;1.0
51073;2;1;1;1.0;7;0;540;0;2.0;2.0
51075;1;1;2;3.0;8;0;580;50;2.0;1.0
51075;2;1;1;3.0;9;0;740;240;?;?
51076;1;2;2;1.0;3;0;580;0;1.0;1.0
51077;1;1;2;3.0;7;0;500;130;2.0;1.0
51078;1;2;1;1.0;9;0;650;234;2.0;1.0
51086;1;2;2;1.0;9;0;510;52;2.0;2.0
51086;2;2;1;1.0;9;0;520;91;2.0;2.0
51090;1;2;2;1.0;6;0;530;0;1.0;2.0
51093;1;2;2;2.0;5;0;540;0;2.0;1.0
51100;1;1;2;1.0;5;00:00;10:20;00:20;1.0;1.0
51100;2;1;1;1.0;5;06:10;07:40;00:30;1.0;1.0
51101;1;2;1;2.0;7;55;540;0;2.0;2.0
51101;2;2;2;2.0;6;0;580;273;2.0;1.0
51104;1;1;2;1.0;3;0;590;0;1.0;1.0
51108;1;1;2;1.0;5;590;350;0;2.0;2.0
51117;1;2;1;1.0;4;300;550;0;2.0;2.0
51117;2;2;2;1.0;4;0;350;0;2.0;2.0
51123;1;2;2;1.0;9;0;640;0;2.0;2.0
51126;1;1;1;2.0;4;440;480;0;1.0;1.0
51126;2;1;2;2.0;4;410;540;10;1.0;1.0
51129;1;2;2;3.0;5;0;580;26;1.0;2.0
51130;1;1;2;2.0;9;00:00;08:40;02:50;?;2.0
51133;1;1;2;1.0;7;0;460;20;2.0;2.0
51136;1;1;1;1.0;5;0;650;40;2.0;1.0
51136;2;1;2;1.0;5;0;650;80;?;?
51141;1;1;2;1.0;3;07:40;08:30;00:00;1.0;1.0
51141;2;1;1;1.0;3;00:00;10:30;00:00;1.0;1.0
51145;1;1;2;2.0;7;0;580;50;2.0;2.0
51147;1;2;2;1.0;3;03:05;11:10;00:00;1.0;1.0
51159;1;2;1;1.0;7;0;560;104;1.0;1.0
51160;1;2;1;2.0;8;0;580;0;2.0;1.0
51161;1;1;2;1.0;6;0;640;0;1.0;2.0
51161;2;1;1;1.0;7;0;620;0;1.0;1.0
51174;1;2;1;1.0;4;00:00;08:30;00:00;1.0;1.0
51182;1;1;1;1.0;7;0;450;0;1.0;2.0
51182;2;1;2;1.0;7;0;540;30;1.0;1.0
51183;1;1;2;2.0;5;0;440;130;1.0;1.0
51200;1;2;2;1.0;3;0;360;0;2.0;1.0
51200;2;2;1;1.0;4;200;300;0;2.0;1.0
51211;1;2;1;1.0;4;0;560;0;1.0;1.0
51212;1;1;1;1.0;9;0;540;30;2.0;2.0
51212;2;1;2;1.0;9;0;590;20;1.0;?
51213;2;1;2;1.0;6;0;530;0;2.0;2.0
51219;1;2;1;1.0;8;0;580;78;1.0;1.0
51219;2;2;2;1.0;7;20;450;26;1.0;1.0
51231;1;2;2;1.0;5;0;530;39;1.0;2.0
51235;1;1;2;1.0;8;0;550;30;2.0;1.0
51242;1;1;1;1.0;3;00:00;10:20;00:30;1.0;1.0
51242;2;1;2;1.0;4;01:30;10:10;00:10;1.0;1.0
51244;1;2;2;1.0;7;00:00;10:00;00:52;2.0;1.0
51248;1;2;2;1.0;4;250;250;39;1.0;1.0
51249;1;2;2;1.0;9;0;640;156;?;2.0
51251;1;1;2;1.0;7;0;420;90;1.0;1.0
51251;2;1;1;1.0;8;0;450;110;1.0;1.0
51256;1;1;1;3.0;4;0;360;0;1.0;1.0
51258;1;1;2;3.0;8;0;400;40;2.0;2.0
51260;1;1;2;3.0;6;06:50;08:00;02:10;1.0;1.0
51261;1;1;2;3.0;4;0;520;0;1.0;2.0
51261;2;1;1;3.0;4;680;480;0;?;?
51263;1;2;1;1.0;6;0;610;0;2.0;2.0
51263;2;2;2;1.0;5;225;540;39;?;?
51266;2;1;1;3.0;6;0;630;0;2.0;2.0
51269;1;1;2;1.0;6;0;470;20;2.0;2.0
51269;2;1;1;1.0;6;0;440;0;2.0;2.0
51273;1;1;1;1.0;6;0;620;130;1.0;1.0
